iter	Passed	Remaining
855	1324	222
856	1325	221
857	1328	219
858	1329	218
859	1330	216
860	1332	215
861	1333	213
862	1334	211
863	1335	210
864	1336	208
865	1337	206
866	1338	205
867	1340	203
868	1341	202
869	1343	200
870	1344	199
871	1345	197
872	1346	195
873	1348	194
874	1349	192
875	1350	191
876	1351	189
877	1352	187
878	1354	186
879	1355	184
880	1356	183
881	1358	181
882	1359	180
883	1360	178
884	1362	176
885	1363	175
886	1364	173
887	1365	172
888	1366	170
889	1367	169
890	1368	167
891	1370	165
892	1371	164
893	1373	162
894	1374	161
895	1375	159
896	1377	158
897	1378	156
898	1379	155
899	1380	153
900	1382	151
901	1383	150
902	1384	148
903	1386	147
904	1388	145
905	1389	144
906	1391	142
907	1392	141
908	1394	139
909	1395	137
910	1396	136
911	1397	134
912	1399	133
913	1400	131
914	1401	130
915	1403	128
916	1404	127
917	1405	125
918	1406	124
919	1408	122
920	1409	120
921	1410	119
922	1411	117
923	1412	116
924	1413	114
925	1414	113
926	1416	111
927	1418	110
928	1419	108
929	1421	106
930	1422	105
931	1423	103
932	1425	102
933	1426	100
934	1427	99
935	1428	97
936	1429	96
937	1431	94
938	1432	93
939	1434	91
940	1435	89
941	1436	88
942	1438	86
943	1439	85
944	1441	83
945	1442	82
946	1443	80
947	1444	79
948	1446	77
949	1447	76
950	1448	74
951	1450	73
952	1451	71
953	1452	70
954	1453	68
955	1454	66
956	1456	65
957	1457	63
958	1458	62
959	1459	60
960	1461	59
961	1462	57
962	1464	56
963	1465	54
964	1467	53
965	1468	51
966	1469	50
967	1470	48
968	1472	47
969	1473	45
970	1474	44
971	1475	42
972	1477	40
973	1478	39
974	1480	37
975	1481	36
976	1482	34
977	1484	33
978	1485	31
979	1486	30
980	1488	28
981	1489	27
982	1490	25
983	1492	24
984	1493	22
985	1495	21
986	1496	19
987	1498	18
988	1499	16
989	1500	15
990	1501	13
991	1502	12
992	1503	10
993	1505	9
994	1507	7
995	1508	6
996	1510	4
997	1511	3
998	1513	1
999	1514	0
